Name,Address,Coordinates
Главный учебный корпус КазНТУ,"ул. Каныша Сатпаева, 22","76.929863,43.236333"
Казахский национальный университет имени Аль-Фараби,"просп. Аль-Фараби, 71","76.921260,43.225245"
Университет Туран,"ул. Каныша Сатпаева, 16А","76.940383,43.237368"
Казахстанско-Британский технический университет,"ул. Толе би, 59","76.943169,43.255311"
Египетский университет исламской культуры Нур-Мубарак,"просп. Аль-Фараби, 73","76.917705,43.212200"
Университет ИТ,"ул. Манаса, 34/1","76.909906,43.235095"
Университет международного бизнеса,"просп. Абая, 8А","76.950273,43.242368"
Alt University,"ул. Шевченко, 97","76.928324,43.245432"
Казахский национальный педагогический университет имени Абая,"просп. Достык, 13","76.954337,43.256416"
Казахский национальный медицинский университет имени С.Д. Асфендиярова,"ул. Толе би, 94","76.931236,43.252882"
"Казахстанский институт менеджмента, экономики и прогнозирования","просп. Абая, 4, офис 115","76.954604,43.242563"
Казахский национальный аграрный университет,"просп. Абая, 8","76.951915,43.242007"
Нархоз,"ул. Ораз Жандосова, 55","76.871262,43.214575"
Казахская национальная академия искусств имени Темирбека Караевича Жургенова,"ул. Панфилова, 127","76.944620,43.251822"
Алматинский технологический университет,"ул. Толе би, 100","76.926631,43.252418"
Казахский государственный женский педагогический университет,"ул. Гоголя, 114/1","76.930603,43.258479"
Пограничная академия Комитета Национальной Безопасности Республики Казахстан,"просп. Достык, 103","76.963442,43.218212"
Казахская академия спорта и туризма,"ул. Халела Досмухамедова, 96","76.926620,43.241512"
"Институт математики, физики и информатики","ул. Толе би, 86","76.935018,43.253193"
Университет Caspian University,"просп. Сакена Сейфуллина, 521","76.932069,43.256960"
Евразийская юридическая академия имени Д.А. Кунаева,"ул. Курмангазы, 107","76.927784,43.243586"
"СПбГУП, филиал","ул. Чайковского, 11","76.935955,43.268897"
Институт промышленной инженерии им. А. Буркитбаева,"ул. Каныша Сатпаева, 22В","76.933806,43.237352"
Евразийский технологический университет,"ул. Толе би, 109Б","76.923170,43.254220"
Международный инженерно-технологический университет,"просп. Аль-Фараби, 93Г/5","76.911432,43.212666"
Goethe-Institut Kasachstan,"ул. Наурызбай батыра, 31","76.935238,43.260300"
Мечеть Нур Мубарак,"просп. Аль-Фараби, 73А","76.916916,43.212061"
Каспийский университет,"просп. Достык, 85А","76.955952,43.244269"
"Алматинский технологический университет, Факультет инжиниринга и информационных технологий","микрорайон Тастак-1, ул. Фурката, 348/4","76.859939,43.250137"
Казахстанско-российский медицинский университет,"просп. Абылай хана, 51/53","76.939840,43.264912"
МехМат КазНУ,"просп. Аль-Фараби, 71/23","76.923846,43.224623"
Казахский университет международных отношений и мировых языков им. Абылай Хана,"ул. Гани Муратбаева, 200","76.920386,43.243709"
КазНПУ им.Абая,"просп. Абая, 56Г","76.910332,43.238586"
Казахстанско-Немецкий университет,"ул. Курмангазы, 46А","76.947847,43.244227"
Университет народного хозяйства,"1-й микрорайон, 81","76.845486,43.227750"
"Казахский национальный университет имени Аль-Фараби, факультет международных отношений и востоковедения","ул. Карасай Батыра, 95","76.928221,43.250539"
Казахстанско-немецкий университет,"ул. Пушкина, 111","76.954135,43.249168"
Алматинская академия МВД РК им. Макана Есбулатова,"ул. Ташена Утепова, 29","76.889861,43.218702"
"Казахский университет международных отношений и мировых языков имени Абылай хана, факультет востоковедения","ул. Наурызбай батыра, 73","76.935813,43.253682"
Казахско-американский университет,"ул. Торайгырова, 29","76.871561,43.202237"
"Казахский национальный технический университет им. К.И. Сатпаева, Военный корпус","ул. Байтурсынова, 140","76.934183,43.232095"
Международный транспортно-гуманитарный университет,"микрорайон Жетысу-1, 32А","76.839688,43.221175"
Q university,"ул. Байзакова, 125/185НП4","76.910329,43.256000"
Институт цифровой техники и технологий,"ул. Каныша Сатпаева, 22В/1","76.934828,43.237007"
"Казахский национальный педагогический университет имени Абая, институт истории и права","Алмалинский район, ул. Жамбыла, 25","76.953262,43.248753"
Казахский национальный женский педагогический университет,"ул. Гоголя, 114/1","76.930616,43.257568"
Высшая школа общественного здравоохранения,"ул. Ташена Утепова, 19А","76.895429,43.219683"
Колледж казахского национального университета им. Аль-Фараби,"ул. Магаза Масанчи, 39","76.929161,43.251946"
Алматинский государственный колледж новых технологий,"ул. Толе би, 287Б","76.847986,43.246565"
Военно-техническая школа Министерства обороны Республики Казахстан,"ул. Абдуллы Розыбакиева, 105А","76.890300,43.230657"
Мипо,"ул. Торайгырова, 49/1","76.868491,43.203205"
Алматинский колледж строительства и менеджмента,"просп. Абая, 10","76.946640,43.242077"
Военно-инженерный институт радиоэлектроники и связи,"ул. Ораза Жандосова, 53","76.873793,43.216601"
De Montfort University,"просп. Аль-Фараби, 120/48","76.928885,43.216548"
High Tech Academy,"микрорайон Кок-Тобе, ул. Сагадата Нурмагамбетова, 150","76.982184,43.263154"
"Казахский национальный аграрный университет, № 11 учебный корпус","просп. Абая, 26, корпус 11","76.939699,43.241347"
Университет Алматы,"микрорайон Аксай-3, 36","76.828620,43.236236"
Казахский научно-исследовательский ветеринарный институт,"просп. Райымбека, 223","76.917687,43.268790"
Академия гражданской авиации,"ул. Ахметова, 44","77.005542,43.355032"
Институт проблем горения,"ул. Богенбай батыра, 172","76.928399,43.251552"
Академия кино и телевидения,"просп. Достык, 110","76.957639,43.240540"
Алматинский гуманитарно-экономический университет,"ул. Ораза Жандосова, 59","76.869531,43.213164"
Назарбаев университет,"ул. Каныша Сатпаева, 4А","76.955879,43.238937"
"Казахский национальный педагогический университет имени Абая, институт педагогики и психологии","ул. Толе би, 31","76.952759,43.255749"
Национальный исследовательский ядерный университет МИФИ,"просп. Аль-Фараби, 71/23","76.923911,43.223844"
Горно-металлургический корпус КазНТУ,"ул. Каныша Сатпаева, 22","76.931475,43.236680"
Институт биологии и биотехнологии растений Кн МОН РК,"ул. Климента Тимирязева, 45","76.916305,43.227209"
Институт гидрогеологии и геоэкологии имени У.М. Ахмедсафина,"ул. Шокана Уалиханова, 94","76.953019,43.251199"
"Международный университет информационных технологий, Кафедра языков","просп. Абая, 52В","76.914192,43.238642"
Сорбонна-Казахстан,"ул. Казыбек би, 28","76.953841,43.256863"
Институт архитектуры и строительства им. Т. К. Басенова,"ул. Каныша Сатпаева, 22А","76.934633,43.237376"
Академия Комитета национальной безопасности Республики Казахстан,"ул. Еркегали Рахмадиева, 8","76.908289,43.191611"
Алматинская академия Экономики и Статистики,"Алматы, улица Каныша Сатпаева","76.945460,43.238285"
Казахская инженерная финансово-банковская академия,"просп. Жибек Жолы, 184","76.919244,43.259766"
"Алматинский технологический университет, факультет пищевых технологий","микрорайон Тастак-1, ул. Фурката, 348/4, Корпус 2-А, кабинет 302, 308","76.859361,43.249869"
Казахстанско-Российский медицинский университет,"ул. Карасай батыра, 75","76.935786,43.251195"
Национальная академия наук РК при Президенте РК,"ул. Каныша Сатпаева, 22","76.931424,43.237097"
Международная Образовательная Корпорация,"микрорайон Таугуль, ул. Рыскулбекова, 28","76.874948,43.204966"
Алматинский гуманитарно-экономический университет,"просп. Жибек Жолы, 65А","76.948392,43.262775"
"Казахский национальный педагогический университет им. Абая, Факультет для иностранных граждан и довузовской подготовки","просп. Абая, 56Б","76.910982,43.238477"
Казахский университет путей сообщения,"микрорайон Мамыр-1, 21/1","76.846365,43.210765"
"Казахский национальный аграрный университет, № 10 учебный корпус","просп. Абая, 28","76.936778,43.241019"
"Университет Кимэп, факультет бизнеса имени Бэнга","просп. Достык, 87","76.956654,43.242436"
Синергия,"ул. Варламова, 33","76.872680,43.238144"
"Казахский национальный педагогический университет имени Абая, институт естествознания и географии","ул. Шокана Уалиханова, 64","76.952462,43.256733"
Военный институт сухопутных войск,"Красногорская ул., 4","76.994514,43.384521"
Институт энергетики и машиностроения им. А. Буркитбаева,"ул. Каныша Сатпаева, 22В","76.933825,43.237054"
Центр Энергосбережения АО КазНИИ энергетики им. академика Ш.Ч. Чокина,"Алмалинский район, ул. Жамбыла, 114/85","76.926124,43.246325"
Narxoz business school,"ул. Ораза Жандосова, 53А","76.871894,43.215826"
"Казахская национальная академия искусств им. Т. К. Жургенова, Факультет искусствоведения","ул. Панфилова, 127","76.944495,43.251827"
Институт информационных и вычислительных технологий,"ул. Курмангазы, 29","76.954034,43.245372"
Казахско-Турецкая Международная академия,"Алматинская область, Карасайский район, Иргелинский сельский округ, Қазыбек Би көшесі","76.908772,43.253731"
Dar university,"микрорайон Коктем-2, 22","76.919135,43.231521"
Кафедра архитектуры и дизайна институт архитектуры имени Т.К. Басенова,"ул. Каныша Сатпаева, 22В","76.933896,43.236999"
Казахский национальный университет им. Аль-Фараби,"ул. Толе би, 96","76.927800,43.252927"
Учебный интернет центр Казахского национального университета имени аль-Фараби,"просп. Аль-Фараби, 71/22","76.923144,43.219904"
"Казахский национальный университет имени Аль-Фараби, факультет биологии и биотехнологии","просп. Аль-Фараби, 71/19","76.921102,43.223623"
"Казахский национальный аграрный университет, № 12 учебный корпус, Военная кафедра","Абай ауылы, 36А","76.936015,43.240388"
"Казахский национальный университет им. аль-Фараби, факультет химии и химической технологии","просп. Аль-Фараби, 71/23","76.923119,43.223479"
Евразийский научно-исследовательский институт,"Медеуский район, ул. Маметовой, 48","76.936931,43.266515"
Казахский национальный женский педагогический университет,"ул. Богенбай батыра, 142","76.938197,43.252333"
Технопарк КазНУ им. Аль-Фараби,"просп. Аль-Фараби, 71/16","76.919239,43.222941"
Северо-западный политехнический университет КНР,"просп. Аль-Фараби, 71/2","76.919252,43.222931"
"Казахский Национальный Аграрный Исследовательский университет, Факультет водных ресурсов и мелиорации","просп. Абая, 8/4","76.953229,43.240675"
Московский технологический институт,"просп. Абая, 44А, БЦ Promenade, этаж 1, офис Б2","76.925280,43.240191"
Казахский национальный медицинский университет им. С. Д. Асфендиярова,"ул. Желтоксан, 37А","76.938077,43.265296"
Институт прикладных духовных технологий им. Джона Фэйворса,"ул. Узакбая Кулымбетова, 63","76.878811,43.245063"
Академия государственного управления при Президенте РК,"просп. Достык, 134, главный, БЦ Пионер 2, офис 404, этаж 3, 4","76.959600,43.236118"
"Казахский национальный педагогический университет им. Абая, институт филологии","ул. Казыбек би, 28","76.953823,43.256922"
"Казахский национальный университет им. Аль-Фараби, юридический факультет","просп. Аль-Фараби, 71","76.920364,43.225229"
Медицинская академия последипломного образования,"ул. Шевченко, 118, этаж цокольный","76.926315,43.244535"
Институт энергетики и машиностроения им. А. Буркитбаева,"ул. Каныша Сатпаева, 22В","76.933798,43.236998"
"Казахский национальный университет им. Аль-Фараби, факультет философии и политологии","ул. Магаза Масанчи, 39","76.929183,43.251986"
АТУ,"ул. Торайгырова, 29","76.871584,43.202207"
"Казахский национальный университет им. Аль-Фараби, военная кафедра","1-й микрорайон, 36","76.848753,43.228600"
Казахская академия Спорта и Туризма,"просп. Сакена Сейфуллина, 551","76.932758,43.252049"
"Казахская академия спорта и туризма, факультет профессионального спорта и единоборств","ул. Халела Досмухамедова, 96","76.926661,43.241425"
Алматинский технологический университет,"микрорайон Тастак-1, ул. Фурката, 348/4","76.859957,43.250051"
"Казахский национальный педагогический университет имени Абая, институт искусства, культуры и спорта","ул. Шокана Уалиханова, 64А","76.952203,43.256211"
"Национальный институт интеллектуальной собственности, филиал РГП","ул. Зенкова, 47, этаж 5","76.957197,43.251000"
Нефтяной корпус КазНТУ,"ул. Каныша Сатпаева, 22","76.931386,43.237190"
Казахская академия спорта и туризма,"ул. Курмангазы, 104","76.926609,43.242957"
"КазНАИУ, Факультет IT-технологий, автоматизации и механизации агропромышленного комплекса","ул. Ажарлы, 9/1","76.852256,43.175920"
Представительство Санкт-Петербургского Университета ГПС МЧС России в г. Алматы,"ул. Кунаева, 181Б, офис 602, 607, этаж 6","76.951330,43.243721"
"КазНУ им. Аль-Фараби, факультет довузовского образования","1-й микрорайон, 36","76.848761,43.228429"
Казахстанский национальный университет имени Аль-Фараби,"ул. Толе би, 96","76.927726,43.253009"
Военный корпус Кнту им К. И. Сатпаева,"ул. Байтурсынова, 140","76.934124,43.232047"
Национальная академия наук высшей школы Республики Казахстан,"бул. Мусрепова, 22","76.919188,43.234249"
Высшая школа Международного Менеджмента,"микрорайон Кок-Тобе, ул. Василия Радлова, 50, этаж 2","76.972305,43.241088"
Институт литературы и искусства имени М. О. Ауэзова,"ул. Курмангазы, 29, этаж 2","76.952472,43.245320"
Международная медицинская школа,"Алматы, Наурызбайский район, микрорайон Мейрам","76.837076,43.199990"
"Казнаиу, Факультет агробиологии","просп. Абая, 8/2, корпус 4, этаж 2","76.951948,43.240176"
Центральная таможенная лаборатория в г. Алматы,"просп. Жибек Жолы, 129","76.933059,43.261906"
"Казахская национальная академия искусств им. Т. К. Жургенова, Факультет эстрадного искусства","ул. Панфилова, 127","76.944514,43.252190"
"Казахский национальный университет имени аль-Фараби им. Аль-Фараби, Факультет медицины","просп. Аль-Фараби, 71","76.920997,43.225660"
Institute of Design and Media,"ул. Байзакова, 280","76.915508,43.237005"
"Казахский национальный медицинский университет, институт дополнительного и профессионального образования","ул. Шокана Уалиханова, 20","76.951099,43.267889"
Дистанционное Образование Alma University,"ул. Абдуллы Розыбакиева, 227","76.893111,43.206194"
Научно-образовательный центр Химическая инженерия,"ул. Шокана Уалиханова, 106","76.953717,43.247236"
Казахский национальный педагогический университет имени Абая,"Алмалинский район, ул. Жамбыла, 25","76.953249,43.248869"
Bilim qazyna,"просп. Аль-Фараби, 73","76.917806,43.212213"
"Казахский национальный университет им. Аль-Фараби, факультет филологии и мировых языков","просп. Аль-Фараби, 71","76.922031,43.225238"
Физико-технический институт,"Алматы, Медеуский район, микрорайон Алатау","77.143112,43.352321"
"Казахская национальная академия искусств имени Т. К. Жургенова, факультет театрального искусства","ул. Панфилова, 127","76.944522,43.251827"
Академия телекоммуникаций Казинформтелеком,"ул. Гоголя, 39, офис 500, 501, этаж 5","76.956865,43.260963"
"Аму, Высшая школа бизнеса","ул. Абдуллы Розыбакиева, 227","76.893410,43.206274"
Институт законодательства и правовой информации РК,"ул. Ораз Жандосова, 144/1, этаж 1","76.872952,43.214242"
Казахский Национальный педагогический университет им. Абая,"просп. Достык, 13","76.954380,43.256362"
Институт стоматологии,"просп. Сакена Сейфуллина, 543","76.932534,43.253442"
Казахстанско-Швейцарский Институт Туризма и Гостиничного бизнеса при АТУ,"ул. Толе би, 100","76.926218,43.252374"
"Алматинский технологический университет, Факультет экономики и бизнеса","ул. Толе би, 100","76.926642,43.252542"
"Казахский национальный университет им. Аль-Фараби, факультет довузовского образования","ул. Магаза Масанчи, 39","76.929207,43.251951"
Институт геологии и экономики минерального сырья Казкерн,"просп. Абая, 191","76.873563,43.235964"
"Казахский национальный университет имени аль-Фараби, исторический факультет","просп. Аль-Фараби, 71","76.922028,43.225242"
"КазНУ им. Аль-Фараби, факультет довузовского образования","просп. Аль-Фараби, 71","76.922031,43.225234"
Факультет эстрадного искусства,"ул. Панфилова, 127","76.944514,43.252145"
"Казахстанско-немецкий университет, факультет инжиниринга и информационных технологий","ул. Пушкина, 111","76.954188,43.249128"
"Казахский национальный университет им. Аль-Фараби, факультет журналистики","просп. Аль-Фараби, 71","76.922030,43.225244"
Академия Комитета Национальной Безопасности РК,"ул. Еркегали Рахмадиева, 1Б","76.911408,43.194999"
Институт повышения квалификации педагогических работников по Алматинской области,"ул. Хаби Халиуллина, 47А","76.976994,43.285188"
Media and Film School,"просп. Аль-Фараби, 176, корп. 1","76.903478,43.196251"
МГТУ,"микрорайон Мамыр-1, 21/1","76.846282,43.210901"
"Казахская национальная академия искусств имени Т. К. Жургенова, факультет живописи, скульптуры и дизайна","ул. Панфилова, 127","76.944522,43.251827"
Университет непрерывного образования,"ул. Ташена Утепова, 11","76.898027,43.219288"
Abay study,"Алматы, проспект Райымбек батыра, 451А","76.848052,43.250159"
Kbtu,"Алматинская область, Талгарский район","77.141051,43.341918"
Образовательный,"просп. Абая, 2","76.956611,43.242758"
Военный институт сухопутных войск,"Красногорская ул., 4","76.994468,43.381503"
Колледж менеджмента международного туризма,"ул. Жанша Досмухамедова, 15","76.790955,43.172961"
"Казахская национальная академия искусств имени Т. К. Жургенова, факультет хореографии","ул. Панфилова, 127","76.944522,43.251827"
"I. Am. Render, академия 3D-визуализации","ул. Байзакова, 280","76.914970,43.236866"
"КазНМУ им. С. Д. Асфендиярова, учебный корпус № 5","ул. Магаза Масанчи, 40","76.929852,43.252409"
